,12,Web on watchOS,Added support for viewing web pages and HTML from Mail and Messages on watchOS 5 with Apple Watch Series 3 or later.,,
,12,Authentication and Passwords,Added support for automatically generating unique strong passwords when creating an account and updating passwords.,,
,12,Authentication and Passwords,Added support for compatibility with the passwordrules attribute when generating passwords.,,
,12,Authentication and Passwords,Added support for suggesting user names during sign-up flows.,,
,12,Authentication and Passwords,"Added support for using username, current-password, and new-passwordvalues for the autocomplete attribute in credential-related forms. For example, <input type=""password"" autocomplete=""new-password"">.",,
,12,Authentication and Passwords,Added support for filling security codes delivered over SMS.,,
,12,Authentication and Passwords,Added support for tagging text fields using the one-time-code value of the autocomplete attribute to ensure that Security Code AutoFill is offered.,,
,12,Authentication and Passwords,"Added support for using security codes from text messages with a numeric sequence near the word “code”, such as “Your secure login code is: 123456.”",,https://bugs.webkit.org/buglist.cgi?content=123456
,12,Media,Added support for viewing USDZ models embedded in websites in 3D and AR.,,
,12,Media,Added support for viewing HTML elements in full screen on iPad.,,
,12,CSS and Text,Added support for font collections in WOFF2 and TTC files.,,
,12,CSS and Text,Added support for defining letterforms in OpenType fonts using SVG.,,
,12,CSS and Text,Added support for the font-display CSS property to declaratively control web font loading behaviors.,,
,12,CSS and Text,Improved HSL and HSLA parsing to match the CSS Color Module Level 4 specification.,https://drafts.csswg.org/css-color-4/#the-hsl-notation,
,12,Security and Privacy,"Added improvements to Intelligent Tracking Prevention including: permanently partitioning cookie access in third-party contexts, adding a user prompt to the Storage Access API, detecting bounce trackers and purging their website data, identifying tracker collusion, and sending origin-only headers for third-party tracker requests.",,
,12,Security and Privacy,Added support for specifying cookies that shouldn’t be sent for cross-site requests.,,
,12,Security and Privacy,Added support for cross-origin-window-policy and cross-origin-resource-policy to defend against Cross Site Script Inclusion attacks.,,
,12,Web Inspector and Tools,Added support for debugging WebGL shaders in the Canvas tab.,,
,12,Web Inspector and Tools,Updated Safari WebDriver to implement the protocol as defined by the W3C WebDriver specification,https://www.w3.org/TR/webdriver/,
,12,Safari Extensions,Deprecated support for .safariextz Safari Extensions installed from the Safari Extensions Gallery with Safari 12 on macOS. Submissions to the Safari Extensions Gallery will no longer be accepted after December 2018. Developers are encouraged to transition to Safari App Extensions.,,https://bugs.webkit.org/buglist.cgi?content=2018
,12,Safari Extensions,Disabled canLoad Safari Extensions on first launch. Safari Extensions that make use of the canLoad event are disabled on first launch and users are notified with a warning that their use is harmful to performance. These extensions can be enabled in Safari Extensions preferences. Developers are encouraged to move to Content Blocker Extensions.,,
,12,Safari Extensions,"Removed Support for Developer-signed .safariextz Safari Extensions in Safari 12 on macOS. They no longer appear in Safari preferences and cannot be enabled. If a user has one of these extensions installed, they receive a warning notification on first launch.",,
,12,Legacy NPAPI Plugins,Removed support for running legacy NPAPI plugins other than Adobe Flash.,,
,12.1,General,Updated the push notification prompt for Safari on macOS to require a user gesture.,,
,12.1,General,Updated the behavior of websites saved to the home screen on iOS to pause in the background instead of relaunching each time.,,
,12.1,Authentication and Passwords,Updated Password AutoFill to sign in automatically to websites after filling in the credentials.,,
,12.1,Security and Privacy,Added warnings displayed to the user when loading insecure pages in both Safari and in SFSafariViewController.,https://developer.apple.com/documentation/SafariServices/SFSafariViewController,
,12.1,Security and Privacy,Added Motion & Orientation settings on iOS to enable the DeviceMotionEvent and DeviceOrientationEvent events.,"https://developer.apple.com/documentation/webkitjs/devicemotionevent 
https://developer.apple.com/documentation/webkitjs/deviceorientationevent",
,12.1,Security and Privacy,Removed support for the expired Do Not Track standard to prevent potential use as a fingerprinting variable.,,
,12.1,Security and Privacy,"Updated the link behavior for ""target=_blank"" to include rel=""noopener"" implicitly.",,
,12.1,Intelligent Tracking Prevention,Removed support for partitioned cookies for domains with cross-site tracking capabilities. The Storage Access API now provides third-party access to cookies.,,
,12.1,Intelligent Tracking Prevention,Improved Intelligent Tracking Prevention to limit long-term tracking based on client-side first-party cookies and to verify partitioned cache entries.,,
,12.1,Web API,Added a supported-color-schemes meta tag to indicate a website supports light and dark color schemes.,,
,12.1,Web API,"Added support for the Intersection Observer API, which detects the intersection of visible elements relative to other elements. Elements include the viewport of the top-level document.",,
,12.1,Web API,Added support for the Web Share API to invoke the native share dialog provided by the system.,,
,12.1,Web API,"Added support for <input type=""color"">.",,
,12.1,Web API,Added support for the <datalist> element.,,
,12.1,Payment Request API,Added support for granular errors.,,
,12.1,Payment Request API,"Added support in Wallet & Apple Pay preferences for using the default contact information for the shipping address, email, and phone. On iOS, set preferences in the Transaction Defaults category in Settings > Wallet & Apple Pay. On Mac, set preferences in System Preferences > Wallet & Apple Pay > Contacts and Shipping.",,
,12.1,Payment Request API,Added support for the default addresses and contacts configured in the Contacts and Shipping in the Wallet system preferences on iOS and macOS.,,
,12.1,Payment Request API,"Added support for special fields for Japan including phoneticName, subLocality, and subAdministrativeArea.","https://developer.apple.com/documentation/apple_pay_on_the_web/applepaypaymentcontact/2937162-sublocality 
https://developer.apple.com/documentation/apple_pay_on_the_web/applepaypaymentcontact/2937163-subadministrativearea",
,12.1,CSS and Text,Added support for the CSS media queries prefers-color-scheme: light and prefers-color-scheme: dark.,,
,12.1,CSS and Text,Added support for CSS rules to customize text decorations like underlines and dashed underlines.,,
,12.1,CSS and Text,Added support for new rgb() color functions from the CSS Color 4 specification.,,
,12.1,Media,Added support for H.264 simulcast and VP8 in WebRTC to improve support for multi-party video conferencing.,,
,12.1,Media,Enabled cross-browser Encrypted Media Extensions (EME) by adding APIs without the webkit prefix.,,
,12.1,Safari App Extension API,Added getAllWindows(completionHandler:) and getAllTabs(completionHandler:) for iterating over all open windows and tabs.,"https://developer.apple.com/documentation/safariservices/sfsafariapplication/3075404-getallwindows 
https://developer.apple.com/documentation/safariservices/sfsafariwindow/3075415-getalltabs",
,12.1,Safari App Extension API,Added getContainingTab(completionHandler:) and getContainingWindow(completionHandler:) access to the containing tab and window objects.,"https://developer.apple.com/documentation/safariservices/sfsafaripage/3075408-getcontainingtab 
https://developer.apple.com/documentation/safariservices/sfsafaritab/3075411-getcontainingwindow",
,12.1,Safari App Extension API,Added a close method to SFSafariWindow and SFSafariTab for closing windows and tabs.,"https://developer.apple.com/documentation/SafariServices/SFSafariWindow 
https://developer.apple.com/documentation/SafariServices/SFSafariTab",
,12.1,Safari App Extension API,Added navigate(to:) for changing the URL of a tab.,https://developer.apple.com/documentation/safariservices/sfsafaritab/3075412-navigate,
,12.1,Safari App Extension API,Added getScreenshotOfVisibleArea(completionHandler:) for taking a screenshot of the visible contents of a page.,https://developer.apple.com/documentation/safariservices/sfsafaripage/3075409-getscreenshotofvisiblearea,
,12.1,Safari App Extension API,Added showPopover() and dismissPopover() for showing and dismissing extension popovers.,"https://developer.apple.com/documentation/safariservices/sfsafaritoolbaritem/3075413-showpopover 
https://developer.apple.com/documentation/safariservices/sfsafariextensionviewcontroller/3075407-dismisspopover",
,12.1,Safari App Extension API,Added getBaseURI(completionHandler:) for retrieving the base URI in the app extension process.,https://developer.apple.com/documentation/safariservices/sfsafariextension/3075406-getbaseuri,
,12.1,Safari App Extension API,Improved support for navigating backwards and forwards.,,
,12.1,Web Inspector and Tools,Added support for multiple selection of DOM tree nodes and of entries in the Cookies table.,,
,12.1,Web Inspector and Tools,Improved styles editing with multiple selection support.,,
,12.1,Web Inspector and Tools,Updated Timelines to include media events.,,
,13,General,"Added Desktop-class Browsing to Safari for iPad. Safari for iPad displays the same desktop websites as Safari for macOS, and provides the same capabilities. In addition it has more keyboard shortcuts, a download manager with background downloads, and support for top productivity websites.",,
,13,General,Added opt-in dark mode support for websites in Safari for iOS.,,
,13,General,Added support for aborting Fetch requests.,,
,13,Authentication and Passwords,"Updated Safari to prompt the user to change weak passwords when signing into a website. Requesting a password change uses the well-known URL for changing passwords, enabling websites to specify the page to open for updating a password.",,
,13,Authentication and Passwords,Added support for FIDO2-compliant USB security keys with the Web Authentication standard in Safari on macOS.,,
,13,Authentication and Passwords,Added support for Sign in With Apple to Safari and to WKWebView.,https://developer.apple.com/documentation/webkit/wkwebview,
,13,Security and Privacy,Added a permission API on iOS for DeviceMotionEvent and DeviceOrientationEvent.,"https://developer.apple.com/documentation/webkitjs/devicemotionevent 
https://developer.apple.com/documentation/webkitjs/deviceorientationevent",
,13,Security and Privacy,Changed the behavior for third party iframes to prevent them automatically navigating the page.,,
,13,Security and Privacy,Updated Intelligent Tracking Prevention to prevent cross-site tracking through referrer and through link decoration.,,
,13,Security and Privacy,Improved the privacy of local WebRTC data connections with mDNS ICE candidates.,,
,13,Security and Privacy,Increased the security for WebKit sandboxes on iOS and macOS.,,
,13,Layout and Rendering,Added support for one-finger accelerated scrolling to all frames and overflow:scroll elements eliminating the need to set-webkit-overflow-scrolling: touch.,,
,13,Layout and Rendering,Changed the default behavior on iPad for wide web pages with responsive meta-tags that require horizontal scrolling. Pages are scaled to prevent horizontal scrolling and any text is resized to preserve legibility.,,
,13,Layout and Rendering,Added support for CSS conic gradients.,,
,13,Performance,Reduced the initial rendering time for webpages on iOS.,,
