,17.5,Accessibility,Fixed a bug preventing VoiceOver word echoing in some text fields.  (122451549) (FB13592798),,"https://bugs.webkit.org/buglist.cgi?content=122451549 
https://bugs.webkit.org/buglist.cgi?content=FB13592798"
,17.5,Animations,Fixed flickering with multiple accelerated animations and direction changes.  (117815004),,https://bugs.webkit.org/buglist.cgi?content=117815004
,17.5,Authentication,Fixed excludeCredentials property being ignored during a passkey registration request.  (124405037),,https://bugs.webkit.org/buglist.cgi?content=124405037
,17.5,CSS,Added support for the light-dark() color function.  (123854183),,https://bugs.webkit.org/buglist.cgi?content=123854183
,17.5,CSS,Added support for text-wrap-style: auto/balance/stable.  (123854373),,https://bugs.webkit.org/buglist.cgi?content=123854373
,17.5,CSS,Added support for @starting-style.  (123854536),,https://bugs.webkit.org/buglist.cgi?content=123854536
,17.5,CSS,Added support for @supports() syntax for @import rules.  (123854667),,https://bugs.webkit.org/buglist.cgi?content=123854667
,17.5,CSS,Fixed the proximity calculation for implicit @scope.  (124640124),,https://bugs.webkit.org/buglist.cgi?content=124640124
,17.5,CSS,Fixed the Grid track sizing algorithm logical height computation avoid unnecessary grid item updates.  (124713418),,https://bugs.webkit.org/buglist.cgi?content=124713418
,17.5,CSS,Fixed any @scope limit making the element out of scope.  (124956673),,https://bugs.webkit.org/buglist.cgi?content=124956673
,17.5,Forms,Fixed native text fields becoming invisible in dark mode.  (123658326),,https://bugs.webkit.org/buglist.cgi?content=123658326
,17.5,Forms,Fixed fallback native <select> rendering in dark mode.  (123845293),,https://bugs.webkit.org/buglist.cgi?content=123845293
,17.5,Media,Added support for WebCodecs AV1 when an AV1 hardware decoder is available.  (123433815),,https://bugs.webkit.org/buglist.cgi?content=123433815
,17.5,Media,Fixed scrolling for an element when a video element with pointer-events: none is placed over it.  (118936715),,https://bugs.webkit.org/buglist.cgi?content=118936715
,17.5,Media,Fixed HTML5 <audio> playback to continue to the next media activity when in the background.  (121268089) (FB13551577),,"https://bugs.webkit.org/buglist.cgi?content=121268089 
https://bugs.webkit.org/buglist.cgi?content=FB13551577"
,17.5,Media,Fixed AV1 to decode in hardware on iPhone 15 Pro.  (121924090),,https://bugs.webkit.org/buglist.cgi?content=121924090
,17.5,Media,Fixed audio distortion over internal speakers when streaming content in web browsers.  (122590884),,https://bugs.webkit.org/buglist.cgi?content=122590884
,17.5,Media,Fixed firing loadeddata events for <audio> and <video> on page load.  (124079735) (FB13675360),,"https://bugs.webkit.org/buglist.cgi?content=124079735 
https://bugs.webkit.org/buglist.cgi?content=FB13675360"
,17.5,Rendering,Fixed adjusting the size of the scrollable area when changing betwen non-overlay and overlay scrollbars.  (117507268),,https://bugs.webkit.org/buglist.cgi?content=117507268
,17.5,Rendering,Fixed flickering when showing a layer on a painted background for the first time by avoiding async image decoding.  (117533495),,https://bugs.webkit.org/buglist.cgi?content=117533495
,17.5,Rendering,Fixed line breaking before or between ruby sequences.  (122663646),,https://bugs.webkit.org/buglist.cgi?content=122663646
,17.5,Web API,Fixed mousemove events in an iframe when the mouse is clicked from outside the iframe and then moves into it while the button is held down.  (120540148) (FB13517196),,"https://bugs.webkit.org/buglist.cgi?content=120540148 
https://bugs.webkit.org/buglist.cgi?content=FB13517196"
,17.5,Web Apps,Fixed several issues that caused Web Push to not show notifications when the web app or Safari was not already running.  (124075358),,https://bugs.webkit.org/buglist.cgi?content=124075358
,17.5,Web Inspector,Fixed info and debug buttons not appearing in the Console Tab until new console messages are displayed.  (122923625),,https://bugs.webkit.org/buglist.cgi?content=122923625
,17.5,WebGL,Added support for EXT_conservative_depth and NV_shader_noperspective_interpolation.  (123854629),,https://bugs.webkit.org/buglist.cgi?content=123854629
,17.5,WebRTC,Fixed WebCodecs to correctly use the VP9 hardware decoder.  (123475343),,https://bugs.webkit.org/buglist.cgi?content=123475343
,17.5,WebRTC,Fixed no incoming video in Teams VA.  (124406255),,https://bugs.webkit.org/buglist.cgi?content=124406255
,17.5,WebRTC,Fixed the camera pausing occasionally when torch is enabled.  (124434403),,https://bugs.webkit.org/buglist.cgi?content=124434403
,17.5,WKWebView,Added logging MarketplaceKit errors to the JavaScript console to make errors easier to debug.  (123475774),,https://bugs.webkit.org/buglist.cgi?content=123475774
